Date,Open,High,Low,Close,Adj Close,Volume
2022-08-09,103.110001,103.800003,102.720001,103.400002,102.586731,128700
2022-08-10,102.699997,104.040001,101.660004,102.190002,101.386246,156900
2022-08-11,101.639999,101.910004,98.510002,98.970001,98.191574,371800
2022-08-12,99.639999,100.239998,99.000000,100.209999,99.421814,158500
2022-08-15,101.169998,101.559998,99.919998,99.949997,99.163857,120400
2022-08-16,99.860001,100.610001,98.680000,100.599998,99.808746,76700
2022-08-17,99.750000,99.750000,98.949997,99.220001,98.439606,171300
2022-08-18,99.629997,100.269997,99.330002,99.489998,98.707481,57800
2022-08-19,97.709999,97.709999,97.120003,97.449997,96.683525,219300
2022-08-22,97.050003,97.440002,96.419998,96.889999,96.127930,278500
2022-08-23,96.650002,98.070000,96.160004,96.489998,95.731071,106600
2022-08-24,95.830002,96.279999,95.099998,95.430000,94.679413,166200
2022-08-25,95.639999,97.550003,95.199997,97.349998,96.584312,103700
2022-08-26,96.809998,98.730003,96.660004,98.440002,97.665741,165700
2022-08-29,97.839996,97.839996,96.839996,97.430000,96.663681,163500
2022-08-30,97.410004,98.440002,97.019997,98.080002,97.308571,106000
2022-08-31,97.540001,98.309998,96.300003,96.559998,95.800522,118800
2022-09-01,94.620003,94.940002,93.449997,94.339996,93.597984,281300
2022-09-02,94.190002,95.059998,93.989998,94.839996,94.094048,137000
2022-09-06,93.440002,93.440002,91.620003,91.709999,90.988670,482200
2022-09-07,92.529999,93.860001,92.489998,93.660004,92.923340,489900
2022-09-08,93.110001,93.910004,92.330002,92.459999,91.732773,161100
2022-09-09,92.550003,93.110001,91.779999,92.550003,91.822067,141800
2022-09-12,92.870003,93.099998,90.959999,91.550003,90.829933,295800
2022-09-13,90.779999,92.110001,90.379997,92.080002,91.355766,218300
2022-09-14,91.959999,92.820000,91.589996,92.709999,91.980804,152400
2022-09-15,92.430000,92.919998,92.160004,92.750000,92.020493,86100
2022-09-16,91.620003,92.650002,91.169998,91.639999,90.919220,149700
2022-09-19,91.620003,92.540001,91.400002,92.059998,91.335915,122900
2022-09-20,90.180000,91.620003,89.839996,90.820000,90.105675,261000
2022-09-21,91.320000,92.980003,90.750000,92.980003,92.248688,307200
2022-09-22,90.540001,90.680000,89.419998,90.070000,89.361572,766700
2022-09-23,90.010002,91.300003,89.190002,90.620003,89.907249,631700
2022-09-26,90.150002,90.400002,88.050003,88.660004,87.962662,347800
2022-09-27,87.260002,87.529999,85.139999,85.230003,84.559647,566400
2022-09-28,87.559998,88.870003,86.839996,88.760002,88.061874,764500
2022-09-29,87.309998,88.769997,87.139999,88.330002,87.635262,704900
2022-09-30,88.760002,89.459999,86.309998,86.709999,86.028000,455100
2022-10-03,87.529999,88.400002,86.750000,87.459999,87.459999,353500
2022-10-04,87.669998,88.290001,86.800003,87.239998,87.239998,414500
2022-10-05,86.239998,86.300003,84.919998,86.050003,86.050003,314600
2022-10-06,86.309998,86.480003,85.050003,85.589996,85.589996,198300
2022-10-07,84.209999,85.169998,83.900002,84.449997,84.449997,207300
2022-10-10,83.669998,83.669998,82.040001,82.680000,82.680000,205900
